0.007319,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.049224,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.271,0.185,0.945,12.621,1.298,5.023,14.168,0.838,0.284,0.466,14.656,-1.725,-22.458,-4.885,none
0.049410,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.242,0.162,0.957,10.389,-7.496,6.214,15.023,0.841,0.251,0.479,13.689,-0.992,-16.748,-2.336,none
0.049526,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.253,0.134,0.958,9.593,7.420,-2.672,4.061,0.847,0.242,0.474,14.040,-3.511,-14.244,1.038,none
0.063037,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.323,0.153,0.934,10.857,16.458,-5.817,-0.534,0.849,0.262,0.459,14.248,-5.435,-9.450,2.092,none
0.083357,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.298,0.180,0.938,11.601,10.992,-0.153,1.710,0.846,0.276,0.457,14.351,-8.412,-8.153,0.046,none
0.103115,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.280,0.185,0.942,11.253,3.878,3.038,-0.977,0.846,0.277,0.456,14.260,-8.626,-5.145,-2.366,none
0.123173,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.307,0.170,0.936,10.870,6.168,4.519,-1.542,0.846,0.271,0.459,14.118,-9.145,-5.908,-2.595,none
0.143373,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.276,0.171,0.946,10.662,6.107,4.702,-2.611,0.846,0.269,0.460,14.202,-9.099,-6.748,-1.511,none
0.163749,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.313,0.163,0.936,10.650,11.237,1.389,-2.809,0.847,0.267,0.460,14.104,-8.626,-7.527,-0.687,none
0.184104,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.310,0.170,0.935,10.642,16.351,0.366,0.336,0.847,0.271,0.457,14.155,-9.221,-8.275,0.901,none
0.204226,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.293,0.186,0.938,11.149,19.328,-0.595,2.504,0.845,0.276,0.458,14.277,-7.985,-8.214,1.282,none
0.224301,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.257,0.194,0.947,11.728,12.336,0.458,0.687,0.848,0.272,0.454,14.213,-7.038,-6.351,0.336,none
0.244634,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.300,0.177,0.937,10.877,5.435,3.710,-2.214,0.848,0.267,0.457,14.252,-6.626,-5.053,-0.427,none
0.264374,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.296,0.178,0.939,11.046,6.947,1.420,-0.321,0.848,0.267,0.457,14.172,-5.786,-4.870,-0.931,none
0.284412,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.299,0.186,0.936,10.826,8.656,0.748,0.473,0.848,0.269,0.456,14.186,-7.099,-5.344,-0.305,none
0.303982,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.286,0.186,0.940,10.919,10.107,0.580,1.038,0.847,0.268,0.459,14.214,-8.092,-6.351,0.779,none
0.324162,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.286,0.184,0.941,11.116,8.733,-0.382,-0.015,0.849,0.264,0.458,14.226,-7.099,-6.504,0.763,none
0.344130,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.304,0.179,0.936,10.851,7.252,-0.168,-0.107,0.848,0.263,0.460,14.254,-6.183,-6.092,-0.046,none
0.364267,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.299,0.184,0.936,11.028,8.901,-0.031,0.824,0.849,0.265,0.457,14.139,-5.832,-5.649,-1.008,none
0.384254,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.299,0.188,0.935,10.561,11.802,-0.718,1.496,0.848,0.269,0.457,14.175,-6.702,-6.672,-0.229,none
0.404324,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.303,0.189,0.934,10.995,15.298,-2.214,2.992,0.849,0.263,0.459,14.166,-6.672,-6.885,-0.061,none
0.424327,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.285,0.191,0.939,10.971,14.885,-2.977,3.145,0.849,0.263,0.458,14.242,-5.985,-6.672,0.244,none
0.444394,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.288,0.196,0.937,11.094,13.023,-1.954,1.802,0.849,0.263,0.458,14.213,-5.267,-6.214,-0.366,none
0.464691,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.292,0.196,0.936,11.185,10.626,-0.382,-0.748,0.850,0.265,0.454,14.213,-5.344,-5.847,-1.664,none
0.486004,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.303,0.196,0.933,10.816,9.130,0.977,-0.534,0.849,0.266,0.457,14.221,-5.924,-5.969,-1.481,none
0.506545,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.302,0.196,0.933,10.796,12.626,-2.076,0.427,0.850,0.265,0.454,14.218,-5.450,-6.153,-1.771,none
0.526773,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.306,0.201,0.931,10.917,14.947,-2.183,2.366,0.850,0.265,0.455,14.177,-5.832,-5.847,-0.656,none
0.546913,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.320,0.199,0.926,10.616,16.229,-1.496,4.244,0.851,0.265,0.454,14.225,-6.061,-6.656,0.626,none
0.566906,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.251,0.215,0.944,12.101,16.260,-1.267,5.221,0.852,0.262,0.454,14.172,-5.588,-6.321,0.397,none
0.587009,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.316,0.200,0.927,11.008,7.802,-2.534,-0.260,0.851,0.263,0.455,14.243,-5.023,-5.252,-0.015,none
0.606994,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.302,0.205,0.931,10.930,8.366,-1.038,-0.244,0.852,0.262,0.454,14.178,-5.038,-5.038,-0.412,none
0.627151,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.302,0.207,0.931,11.018,8.840,1.847,-0.611,0.853,0.263,0.451,14.267,-5.130,-4.748,-1.130,none
0.646973,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.207,0.930,10.978,8.931,3.786,-1.802,0.850,0.262,0.457,14.342,-6.122,-3.313,-2.641,none
0.666931,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.270,0.211,0.940,10.993,9.282,1.771,-0.672,0.852,0.257,0.457,14.116,-4.229,-4.534,-1.634,none
0.687125,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.319,0.208,0.925,11.067,8.000,-1.863,-1.053,0.851,0.265,0.454,14.300,-5.954,-7.069,-0.290,none
0.707285,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.316,0.205,0.926,11.003,8.122,-0.824,-1.817,0.851,0.260,0.456,14.234,-4.473,-5.221,-2.397,none
0.727348,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.298,0.212,0.931,10.993,6.382,-0.733,-1.695,0.852,0.265,0.452,14.234,-5.847,-5.679,-1.557,none
0.747185,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.299,0.217,0.929,10.941,6.458,-1.420,-1.832,0.849,0.270,0.454,14.241,-5.206,-5.954,-1.847,none
0.767376,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.300,0.215,0.929,10.915,7.496,-0.565,-1.863,0.851,0.266,0.452,14.170,-3.969,-5.481,-2.489,none
0.787451,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.304,0.211,0.929,11.002,6.687,0.351,-1.954,0.850,0.265,0.455,14.256,-5.145,-6.168,-1.939,none
0.807524,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.207,0.930,10.932,6.137,0.046,-2.718,0.852,0.260,0.455,14.237,-5.588,-6.763,-2.504,none
0.827751,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.296,0.211,0.932,11.001,4.840,-0.931,-3.099,0.852,0.264,0.453,14.207,-6.611,-7.664,-2.260,none
0.847757,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.302,0.213,0.929,10.973,4.076,-1.786,-3.573,0.851,0.266,0.453,14.252,-6.885,-7.740,-1.969,none
0.868053,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.306,0.211,0.928,10.975,4.504,-0.550,-3.511,0.852,0.268,0.451,14.221,-7.084,-6.458,-1.802,none
0.887956,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.221,0.926,10.925,5.237,0.473,-2.901,0.850,0.272,0.450,14.190,-6.885,-6.336,-1.389,none
0.907943,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.298,0.222,0.928,10.919,5.664,-2.061,-1.603,0.849,0.275,0.451,14.209,-5.573,-7.389,-0.244,none
0.929263,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.306,0.217,0.927,11.007,4.992,-2.122,-0.687,0.853,0.267,0.449,14.220,-5.924,-6.947,0.473,none
0.948301,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.210,0.929,10.941,4.733,-2.260,0.031,0.853,0.264,0.450,14.246,-6.076,-6.305,1.160,none
0.968679,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.306,0.214,0.928,10.952,4.977,0.427,-0.947,0.852,0.266,0.450,14.207,-6.000,-5.786,-0.137,none
0.988672,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.211,0.929,10.991,4.916,-0.824,-1.099,0.852,0.264,0.452,14.263,-5.954,-6.061,-0.015,none
1.011527,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.307,0.211,0.928,10.944,5.405,-0.015,-1.252,0.854,0.264,0.449,14.244,-5.863,-5.359,-0.382,none
1.030832,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.307,0.210,0.928,10.942,5.817,0.748,-1.130,0.853,0.262,0.452,14.257,-5.740,-5.023,-0.412,none
1.048798,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.304,0.212,0.929,10.992,6.137,0.595,-1.115,0.853,0.264,0.451,14.251,-5.405,-4.779,-0.412,none
1.068987,0.325,0.414,-0.851,2812.08,-0.112,0.112,0.112,-0.463,-0.885,0.047,0.432,-0.179,-0.884,2609.41,-0.112,3.917,-9.064,-0.097,0.116,0.988,-0.915,0.299,-0.272,1827.76,26.074,26.074,-77.998,0.067,-0.576,-0.815,-0.622,0.317,0.716,2548.05,-55.281,34.579,145.925,0.167,0.303,-0.938,0.305,0.210,0.929,11.001,5.939,0.702,-1.405,0.853,0.265,0.450,14.239,-5.466,-4.794,-0.779,none
